name,id,file_name
Keep,OATH-005P1,Keep_P1.png
Alchemist,OATH-009P1,Alchemist_P1.png
Martial Culture,OATH-010P1,Martial Culture_P1.png
Tinker's Fair,OATH-013P1,Tinker's Fair_P1.png
Disgraced Captain,OATH-020P1,Disgraced Captain_P1.png
Book Burning,OATH-022P1,Book Burning_P1.png
Magician's Code,OATH-032P1,Magician's Code_P1.png
Inquisitor,OATH-038P1,Inquisitor_P1.png
Long-Lost Heir,OATH-044P1,Long-Lost Heir_P1.png
Memory of Home,OATH-049P1,Memory of Home_P1.png
Quick Exit,OATH-058P1,Quick Exit.png
Bewitch,OATH-067P1,Bewitch_P1.png
Vow of Silence,OATH-074P1,Vow of Silence_P1.png
Forgotten Vault,OATH-075P1,Forgotten Vault_P1.png
Vow of Division,OATH-086P1,Vow of Division.png
Royal Ambitions,OATH-088P1,Royal Ambitions_P1.png
Salt the Earth,OATH-089P1,Salt the Earth_P1.png
Riots,OATH-091P1,Riots_P1.png
Relic Thief,OATH-095P1,Relic Thief_P1.png
Gossip,OATH-099P1,Gossip_P1.png
Bandit Chief,OATH-100P1,Bandit Chief_P1.png
Defame,OATH-102P1,Defame.png
A Round of Ale,OATH-129P1,A Round of Ale_P1.png
Relic Breaker,OATH-139P1,Relic Breaker_P1.png
Ballot Box,OATH-141P1,Ballot Box_P1.png
Deed Writer,OATH-146P1,Deed Writer_P1.png
Ancient Pact,OATH-166P1,Ancient Pact_P1.png
Family Wagon,OATH-168P1,Family Wagon_P1.png
Relic Worship,OATH-173P1,Relic Worship_P1.png
Vow of Union,OATH-185P1,Vow of Union_P1.png
Giant Python,OATH-186P1,Giant Python_P1.png
Forest Council,OATH-194P1,Forest Council_P1.png
Bracken,OATH-197P1,Bracken_P1.png
Golem Legions,OATH-199,Golem Legions.png
Council Arbiter,OATH-200,Council Arbiter.png
Catacombs,OATH-201,Catacombs.png
Ward of Silence,OATH-202,Ward of Silence.png
Vow of WIsdom,OATH-203,Vow of WIsdom.png
Arcane Brokers,OATH-204,Arcane Brokers.png
Disciples,OATH-205,Disciples.png
Arcane Armor,OATH-206,Arcane Armor.png
Glamor,OATH-207,Glamor.png
Wizard's Conclave,OATH-208,Wizard's Conclave.png
True Oath,OATH-209,True Oath.png
Bog,OATH-210,Bog.png
Whispering Leaves,OATH-211,Whispering Leaves.png
Bed Of Roots,OATH-212,Bed Of Roots.png
Autumn Wind,OATH-213,Autumn Wind.png
Shifting Fog,OATH-214,Shifting Fog.png
Fae Battalion,OATH-215,Fae Battalion.png
Hunger,OATH-216,Hunger.png
Signal Trees,OATH-217,Signal Trees.png
Forest Warden,OATH-218,Forest Warden.png
Bandit Paymaster,OATH-219,Bandit Paymaster.png
Reliquary Raid,OATH-220,Reliquary Raid.png
Tracker,OATH-221,Tracker.png
Banner Breakers,OATH-222,Banner Breakers.png
Pledge to Discord,OATH-223,Pledge to Discord.png
Friendly Familiar,OATH-224,Friendly Familiar.png
Unstable Summon,OATH-225,Unstable Summon.png
Bandit Prince,OATH-226,Bandit Prince.png
Dark Enforcer,OATH-227,Dark Enforcer.png
Spoiled Supplies,OATH-228,Spoiled Supplies.png
Old Songs,OATH-229,Old Songs.png
Diplomat,OATH-230,Diplomat.png
Village Idiot,OATH-231,Village Idiot.png
Spinning Bee,OATH-232,Spinning Bee.png
Firebrand,OATH-233,Firebrand.png
Watchdog,OATH-234,Watchdog.png
Favored Son,OATH-235,Favored Son.png
Town Meeting,OATH-236,Town Meeting.png
League Treaty,OATH-237,League Treaty.png
Skilled Merchants,OATH-238,Skilled Merchants.png
Tribute Spoils,OATH-239,Tribute Spoils.png
Search Party,OATH-240,Search Party.png
Moving Market,OATH-241,Moving Market.png
Traveling Negotiator,OATH-242,Traveling Negotiator.png
Pledge of Defense,OATH-243,Pledge of Defense.png
The Red Seer,OATH-244,The Red Seer.png
Royal Stables,OATH-245,Royal Stables.png
Call For Help,OATH-246,Call For Help.png
Vow of Wandering,OATH-247,Vow of Wandering.png
Mounted Library,OATH-248,Mounted Library.png
Master at Arms,OATH-249,Master at Arms.png
Baron,OATH-250,Baron.png
Honor Guard,OATH-251,Honor Guard.png
City Wall,OATH-252,City Wall.png
Fearsome General,OATH-253,Fearsome General.png
Careful Plans,OATH-254,Careful Plans.png
Garrison Armory,OATH-255,Garrison Armory.png
Battle Axes,OATH-256,Battle Axes.png
Great Feast,OATH-257,Great Feast.png
Quartermaster,OATH-258,Quartermaster.png
Giant's Rampage,OATH-E01,Giant's Rampage.png
Bandit Market,OATH-E02,Bandit Market.png
Great Market,OATH-E02,Great Market.png
Grand Canal,OATH-E03,Grand Canal.png
Lost Lagoon,OATH-E03,Lost Lagoon.png
Ruined Baths,OATH-E04,Ruined Baths.png
Stone Baths,OATH-E04,Stone Baths.png
Amber Doors,OATH-E05,Amber Doors.png
Lost Doors,OATH-E05,Lost Doors.png
Great Forge,OATH-E06,Great Forge.png
Blasted Pastures,OATH-E07,Blasted Pastures.png
Wild Pastures,OATH-E07,Wild Pastures.png
Desecrated Ground,OATH-E08,Desecrated Ground.png
Sacred Ground,OATH-E08,Sacred Ground_P1.png
Giant's Path,OATH-E09,Giant's Path.png
Temple Of Ancestors,OATH-E10,Temple Of Ancestors.png
Fallen Spire,OATH-E11,Fallen Spire.png
Great Spire,OATH-E11,Great Spire.png
Broken Clock,OATH-E12,Broken Clock.png
Great Clock,OATH-E12,Great Clock.png
Drowned Library,OATH-E13,Drowned Library.png
Shattered Portal,OATH-E14,Shattered Portal.png
Stone Portal,OATH-E14,Stone Portal.png
Marble Fountains,OATH-E15,Marble Fountains.png
Murky Fountain,OATH-E15,Murky Fountain.png
Hall Of Bandits,OATH-E16,Hall Of Bandits.png
Hall Of Ministers,OATH-E16,Hall Of Ministers.png
Bandit Patrols,OATH-E17,Bandit Patrols.png
Relic Patrols,OATH-E17,Relic Patrols.png
Lost Guardians,OATH-E18,Lost Guardians.png
Tome Guardians,OATH-E18,Tome Guardians_P1.png
Bandit Tribunal,OATH-E19,Bandit Tribunal.png
Cracked Rampart,OATH-E20,Cracked Rampart.png
Towering Rampart,OATH-E20,Towering Rampart.png
Festival District,OATH-E21,Festival District.png
Squalid District,OATH-E21,Squalid District.png
Empty Grounds,OATH-E22,Empty Grounds.png
Proving Grounds,OATH-E22,Proving Grounds.png
Spiral Castle,OATH-E23,Spiral Castle.png
Spiral Dungeons,OATH-E23,Spiral Dungeons.png
Boiling Lake,OATH-E24,Boiling Lake_P1.png
Still Boiling Lake,OATH-E24,Still Boiling Lake.png
Hidden Passages,OATH-E25,Hidden Passages.png
Sinking Passages,OATH-E25,Sinking Passages.png
Hallowed Spring,OATH-E26,Hallowed Spring.png
Hiding Place,OATH-E26,Hiding Place.png
Ruined School,OATH-E27,Ruined School.png
School of Vines,OATH-E27,School of Vines.png
Oaken Fortress,OATH-E28,Oaken Fortress.png
Rotting Fortress,OATH-E28,Rotting Fortress.png
Bandit Forest,OATH-E29,Bandit Forest.png
Forbidden Forest,OATH-E29,Forbidden Forest.png
Forest Horn,OATH-E30,Forest Horn.png
